Species,SearchTerm,MatchedGene,GeneSymbol,LocusTag,Chromosome,GeneStart,GeneEnd,Strand,ChromosomeLength
Amazona_aestiva,MTNR1C,AAES_23638,,AAES_23638,LMAW01000381.1,377462,409982,+,1877623
Amazona_aestiva,MTNR1B,AAES_107064,,AAES_107064,LMAW01002611.1,588843,617204,-,844530
Amazona_aestiva,MTNR1A,AAES_125952,,AAES_125952,LMAW01002755.1,93524,141422,-,671528
Amazona_guildingii,Mtr1a,Mtr1a,Mtr1a,AMAGUI_R02447,VXAR01002725.1,79341,80198,-,576068
Amazona_guildingii,Mtr1c,Mtr1c,Mtr1c,AMAGUI_R00472,VXAR01002908.1,432747,433634,-,633583
Amazona_guildingii,Mtr1b,Mtr1b,Mtr1b,AMAGUI_R01169,VXAR01004403.1,14899,43184,-,58754
Casuarius_casuarius,Mtr1a,Mtr1a,Mtr1a,CASCAS_R00283,VWPT01000002.1,10501379,10502257,-,21348140
Casuarius_casuarius,Mtr1c,Mtr1c,Mtr1c,CASCAS_R10656,VWPT01000035.1,3729619,3730521,+,8197883
Casuarius_casuarius,Mtr1b,Mtr1b,Mtr1b,CASCAS_R11541,VWPT01000250.1,1075733,1076629,+,1132716
Gallus_gallus,MTNR1,MTNR1B,MTNR1B,,NC_052532.1,186097788,186118266,-,196449156
Gallus_gallus,GPR50,GPR50,GPR50,,NC_052535.1,17556670,17586182,-,90861225
Gallus_gallus,MTNR1,MTNR1A,MTNR1A,,NC_052535.1,61133978,61185763,-,90861225
Meleagris_gallopavo,MTNR1,MTNR1B,MTNR1B,,NC_139404.1,183926385,183949402,-,194070912
Meleagris_gallopavo,MTNR1,MTNR1A,MTNR1A,,NC_139407.1,41439324,41487981,-,70339173
Meleagris_gallopavo,GPR50,GPR50,GPR50,,NC_139412.1,17465689,17494461,-,19224719
